FULL,Year,PG,ID,ID2,CAT_ORG,CAT_MOD,FULL.1,Position,Nation,Name,Addy_Clean,Address,Nationality - Katherine Vote,Nationality - Zehra Vote,Nationality - Jessica,Nationality Final,api_result1,api_result2,nationality_api,nationality_ipums,Origin_api,Gender - Katherine Vote,Gender - Zehra Vote,Gender - Jessica,Gender - Final,Gender_api,gender_combined,gender_final,Notes,Arrival / I Record,CORNER,Address2,ST combi,ST Name,ST Name 2,ST Name 3,ST Name 4,ST Name 5,ST Name 6,Last,First,probability1,probability12,if error,if>40,final_api,final_ancestry,country_match,region_match,Final Result,,,
"Peragallo Frederick, 957, 3d av",1898_TrowBusMan,960,1471,1898_TrowBusMan_1471,Restaurants (Marked thus + are oyster saloons.),Restaurant,"Peragallo Frederick, 957, 3d av",21,,Peragallo Frederick ,957 3rd av ,"957, 3d av",Italian,,,Italian,French,Spanish,undecided,undecided,Western Europe,m,,m,m,m,m,m,,,N,957,3rd av ,3rd,av,,,,,Kleinschmldt,Henry,0.48530908,0.45425543,error,0.507763109,French,Italian,,FALSE,FALSE,,,
"Pione Victor, 100 W 13th",1898_TrowBusMan,960,1488,1898_TrowBusMan_1488,Restaurants (Marked thus + are oyster saloons.),Restaurant,"Pione Victor, 100 W 13th",14,,Pione Victor ,100 W 13th ,100 W 13th,Italian,,,Italian,French,Moldova,undecided,undecided,Western Europe,m,,m,m,m,m,m,,,N,100,W 13th ,W,13th,,,,,Kraus,M,0.60065764,0.70164534,,0.50059231,French,Italian,,German/Russian/Hungarian/Austrian,FALSE,,,
Rinaldi Louis A. 40 Peck sl,1898_TrowBusMan,961,1569,1898_TrowBusMan_1569,Restaurants (Marked thus + are oyster saloons.),Restaurant,Rinaldi Louis A. 40 Peck sl,17,,Rinaldi Louis A ,40 Peck slip ,40 Peck sl,Italian,,,Italian,French,Italian,Italian,Italian,Western Europe,m,,m,m,m,m,m,,,N,40,Peck slip ,Peck,sl,,,,,McGill,&,0.50672404,0.82543607,,0.497109654,French,Italian,,Ireland/New York,FALSE,,,
"Nassau Buffet, 83 Nassau",1898_TrowBusMan,959,1386,1898_TrowBusMan_1386,Restaurants (Marked thus + are oyster saloons.),Restaurant,"Nassau Buffet, 83 Nassau",15,,Nassau Buffet ,83 Nassau,83 Nassau,,,"Jewish, German","Jewish, German",French,Kenya,undecided,undecided,Western Europe,,,,,f,undecided,undecided,,,N,83,Nassau,Nassau,,,,,,Hot,E,0.43607991,0.42204953,error,0.577187785,French,"Jewish, German",,FALSE,FALSE,,,
"Tschantre E. & Co, 340 Canal & 20, 4th av",1898_TrowBusMan,963,1882,1898_TrowBusMan_1882,Restaurants (Marked thus + are oyster saloons.),Restaurant,"Tschantre E. & Co, 340 Canal & 20, 4th av",19,,Tschantre E & Co ,340 Canal  ,"340 Canal & 20, 4th av",,Swiss,,Swiss,French,Swiss,Swiss,Swiss,Western Europe,,,,,m,undecided,undecided,,,N,340,Canal  ,Canal,,,,,,Spamer,Louis,0.47973309,0.45063838,error,0.61736246,French,Italian,,,FALSE,,,
Vollmers Frank. 217 W Bway,1898_TrowBusMan,963,1925,1898_TrowBusMan_1925,Restaurants (Marked thus + are oyster saloons.),Restaurant,Vollmers Frank. 217 W Bway,16,,Vollmers Frank ,217 W Broadway,217 W Bway,,,,English,German,Dutch,German,German,Western Europe,m,,m,m,m,m,m,,,N,217,W Broadway,W,,,,,,Mack,Jacob,0.757000929,0.803769938,,0.888355823,German,English,,Russian,FALSE,,,
Weiss Edward D. 58 E 13th,1898_TrowBusMan,963,1968,1898_TrowBusMan_1968,Restaurants (Marked thus + are oyster saloons.),Restaurant,Weiss Edward D. 58 E 13th,16,,Weiss Edward D ,58 E 13th ,58 E 13th,,,,Dutch,German,Irish,German,German,Western Europe,f,,f,f,m,m,f,,,N,58,E 13th ,E,,,,,,Hochall,Thomas,0.686837878,0.694524537,,0.616192804,German,Dutch,,FALSE,FALSE,,,
"Witte Leopold, 600 W 22d",1898_TrowBusMan,964,2030,1898_TrowBusMan_2030,Restaurants (Marked thus + are oyster saloons.),Restaurant,"Witte Leopold, 600 W 22d",15,,Witte Leopold ,600 W 22nd ,600 W 22d,,Belgian,,Belgian,German,Belgium,undecided,undecided,Western Europe,m,,m,m,m,m,m,,,N,600,W 22nd ,W,22nd,,,,,Williams,&,0.5680775,0.66237583,,0.885423143,German,Belgian,,New York/Russian/Ireland/ Italy,FALSE,,,
Haag Conrad. 218 Greene,1898_TrowBusMan,956,815,1898_TrowBusMan_815,Restaurants (Marked thus + are oyster saloons.),Restaurant,Haag Conrad. 218 Greene,13,,Haag Conrad ,218 Greene  ,218 Greene,Dutch,,,Dutch,German,Swiss,undecided,undecided,Western Europe,m,m,,m,m,m,m,,,N,218,Greene  ,Greene,,,,,,Altman,Benjamin,0.5009432,0.46937079,error,0.447385655,German,Dutch,,Austrian/Russian/Hungarian/Romanian,FALSE,,,
"Wettlaufer William L. 597, 9th av",1898_TrowBusMan,963,1984,1898_TrowBusMan_1984,Restaurants (Marked thus + are oyster saloons.),Restaurant,"Wettlaufer William L. 597, 9th av",22,,Wettlaufer William L ,597 9th av ,"597, 9th av",,Dutch,,Dutch,German,Irish,undecided,undecided,Western Europe,m,,m,m,m,m,m,,,N,597,9th av ,9th,av,,,,,Walling,Elbert,0.47326049,0.45372116,error,0.817559216,German,Dutch,,New York,FALSE,,,
Gurney Wolf. 3 Wooster,1898_TrowBusMan,956,811,1898_TrowBusMan_811,Restaurants (Marked thus + are oyster saloons.),Restaurant,Gurney Wolf. 3 Wooster,13,,Gurney Wolf ,3 Wooster  ,3 Wooster,English,,,English,German,Jewish,undecided,undecided,Western Europe,m,m,,m,m,m,m,,,N,3,Wooster  ,Wooster,,,,,,Alperstein,S,0.49244713,0.46156435,error,0.501504444,German,English,,Russian,FALSE,,,
"Miller August, 201 Chrystie",1898_TrowBusMan,959,1313,1898_TrowBusMan_1313,Restaurants (Marked thus + are oyster saloons.),Restaurant,"Miller August, 201 Chrystie",15,,Miller August ,201 Chrystie  ,201 Chrystie,,,English,English,German,Austrian,undecided,undecided,Western Europe,m,,m,m,m,m,m,Maybe https://www.ancestrylibrary.com/interactive/1629/31194_121017-00703?pid=6445014&backurl=https://search.ancestrylibrary.com/cgi-bin/sse.dll?_phsrc%3DIQz338%26_phstart%3DsuccessSource%26usePUBJs%3Dtrue%26qh%3DTdLkjbTgwShJItp2Qf1GWA%253D%253D%26gss%3Dangs-c%26new%3D1%26rank%3D1%26gsfn%3Daugust%26gsfn_x%3D0%26gsln%3Dmiller%26gsln_x%3D0%26MSAV%3D1%26uidh%3Dqh4%26pcat%3D40%26h%3D6445014%26dbid%3D1629%26indiv%3D1%26ml_rpos%3D2&treeid=&personid=&hintid=&usePUB=true&_phsrc=IQz338&_phstart=successSource&usePUBJs=true,,N,201,Chrystie  ,Chrystie,,,,,,Gutzki,Charles,0.45676101,0.44888903,error,0.643334906,German,English,,FALSE,FALSE,,,
"Truppner Paul, 98 Cedar",1898_TrowBusMan,963,1881,1898_TrowBusMan_1881,Restaurants (Marked thus + are oyster saloons.),Restaurant,"Truppner Paul, 98 Cedar",15,,Truppner Paul ,98 Cedar  ,98 Cedar,,English,,English,German,Swiss,undecided,undecided,Western Europe,m,,m,m,m,m,m,,,N,98,Cedar  ,Cedar,,,,,,Spalding,Thomas,0.4899187,0.4466409,error,0.563802647,German,English,,New York,FALSE,,,
"Naftolowitz Joseph, 8 Walker",1898_TrowBusMan,959,1382,1898_TrowBusMan_1382,Restaurants (Marked thus + are oyster saloons.),Restaurant,"Naftolowitz Joseph, 8 Walker",20,,Naftolowitz Joseph ,8 Walker  ,8 Walker,,,Romanian,Romanian,German,Irish,undecided,undecided,Western Europe,m,,m,m,m,m,m,https://search.ancestrylibrary.com/cgi-bin/sse.dll?_phsrc=yXy16&_phstart=successSource&usePUBJs=true&qh=KcUVgG8EOOF%2BFjKCLTr7NQ%3D%3D&gss=angs-c&new=1&rank=1&gsfn=joseph&gsfn_x=0&gsln=naftolowitz&gsln_x=0&MSAV=1&uidh=qh4&successSource=Search&_phtarg=yXy15&pcat=40&h=6372266&dbid=1629&indiv=1&ml_rpos=1,1887,N,8,Walker  ,Walker,,,,,,Horst,William,0.50134868,0.45942017,error,0.598529741,German,Romanian,,FALSE,FALSE,,,
"Eberson Isaac, 13 Clinton",1898_TrowBusMan,954,573,1898_TrowBusMan_573,Restaurants (Marked thus + are oyster saloons.),Restaurant,"Eberson Isaac, 13 Clinton",15,,Eberson Isaac ,13 Clinton  ,13 Clinton,Jewish,,,Jewish,Ghana,Irish,undecided,undecided,Western Africa,m,m,,m,m,m,m,,,N,13,Clinton  ,Clinton,,,,,,Carhulas,Costas,0.776411026,0.941821793,,0.759534722,Ghana,Jewish,,FALSE,FALSE,,,
"+Chotis John, 284 3d av",1898_TrowBusMan,953,384,1898_TrowBusMan_384,Restaurants (Marked thus + are oyster saloons.),Oyster Saloon,"+Chotis John, 284 3d av",14,,Chotis John ,284 3rd av ,284 3d av,,,English,English,Greek,Irish,undecided,undecided,Southern Europe,m,m,,m,m,m,m,,,N,284,3rd av ,3rd,av,,,,,Zimmerman,Frederick,0.646844139,0.661163023,,0.647994777,Greek,English,,Russian,FALSE,,,
Asbyll Barnett. 74 Monroe,1898_TrowBusMan,951,123,1898_TrowBusMan_123,Restaurants (Marked thus + are oyster saloons.),Restaurant,Asbyll Barnett. 74 Monroe,16,,Asbyll Barnett ,74 Monroe  ,74 Monroe,English,,English,English,Hungarian,Irish,undecided,cannot use ipums,Eastern Europe,m,m,f,m,m,m,m,,,N,74,Monroe  ,Monroe,,,,,,Baussmann,John,0.507936841,0.565125223,,0.50303184,Hungarian,English,,German,FALSE,,,
"Pastemak Harry, 104 Atty",1898_TrowBusMan,960,1457,1898_TrowBusMan_1457,Restaurants (Marked thus + are oyster saloons.),Restaurant,"Pastemak Harry, 104 Atty",16,,Pastemak Harry ,104 Attorney,104 Atty,Polish,,,Polish,Indonesian,English,undecided,undecided,South-Eastern Asia,m,,m,m,m,m,m,,,N,104,Attorney,Atty,,,,,,Kayser,Margaret,0.50388628,0.47733292,error,0.889109799,Indonesian,Polish,,German/Austrian,FALSE,,,
"Shahbazian Neshan, 239 E 27th",1898_TrowBusMan,962,1714,1898_TrowBusMan_1714,Restaurants (Marked thus + are oyster saloons.),Restaurant,"Shahbazian Neshan, 239 E 27th",19,,Shahbazian Neshan ,239 E 27th ,239 E 27th,Armenian,,,Armenian,Iran,Pakistan,undecided,undecided,Southern Asia,,,,,f,undecided,undecided,,,N,239,E 27th ,E,27th,,,,,Pudor,Arnold,0.29717615,0.41038076,,0.638414768,Iran,Armenian,,FALSE,FALSE,,,
"Janesok John, 404, 2d av",1898_TrowBusMan,957,973,1898_TrowBusMan_973,Restaurants (Marked thus + are oyster saloons.),Restaurant,"Janesok John, 404, 2d av",14,,Janesok John ,404 2nd av ,"404, 2d av",Dutch,,,Dutch,Irish,Kenya,undecided,undecided,Northern Europe,m,m,,m,m,m,m,,,N,404,2nd av ,2nd,av,,,,,Carreno,&,0.76640829,0.7890798,,0.621795142,Irish,Dutch,,FALSE,FALSE,,,
"Vanness William, 588, 7th av",1898_TrowBusMan,963,1905,1898_TrowBusMan_1905,Restaurants (Marked thus + are oyster saloons.),Restaurant,"Vanness William, 588, 7th av",17,,Vanness William ,588 7th av ,"588, 7th av",Dutch,,,Dutch,Irish,English,undecided,undecided,Northern Europe,m,,m,m,m,m,m,,,N,588,7th av ,7th,av,,,,,Steinhardt,&,0.62519854,0.67095919,,0.708845406,Irish,Dutch,,Russian/Austrian/Hungarian/German,FALSE,,,
Pontin William S. 46 Franklin,1898_TrowBusMan,960,1497,1898_TrowBusMan_1497,Restaurants (Marked thus + are oyster saloons.),Restaurant,Pontin William S. 46 Franklin,18,,Pontin William S ,46 Franklin  ,46 Franklin,French,,,French,Irish,English,undecided,undecided,Northern Europe,m,,m,m,m,m,m,,,N,46,Franklin  ,Franklin,,,,,,Lachicotte,Brothers,0.47080164,0.51061868,,0.794255134,Irish,French,,FALSE,FALSE,,,
"Queren Frederick, 48 Broad",1898_TrowBusMan,960,1520,1898_TrowBusMan_1520,Restaurants (Marked thus + are oyster saloons.),Restaurant,"Queren Frederick, 48 Broad",18,,Queren Frederick ,48 Broad  ,48 Broad,French,,,French,Irish,Belgium,undecided,undecided,Northern Europe,m,,m,m,m,m,m,,,N,48,Broad  ,Broad,,,,,,Lehrer,&,0.50314452,0.49685501,error,0.593300119,Irish,French,,Russian/Austrian/Romanian/Hungarian,FALSE,,,
Halporn & Freund. 189 E Houston,1898_TrowBusMan,956,835,1898_TrowBusMan_835,Restaurants (Marked thus + are oyster saloons.),Restaurant,Halporn & Freund. 189 E Houston,18,,Halporn & Freund ,189 E Houston ,189 E Houston,German,,,German,Irish,Sweden,cannot use api,cannot use api,,,,,,m,cannot use api,cannot use api,,,N,189,E Houston ,E,Houston,,,,,Bahruth,Anne,0.50715031,0.49726491,error,0.771102614,Irish,German,,FALSE,FALSE,,,
"Handwerker Henry J. 214, 7th av",1898_TrowBusMan,956,839,1898_TrowBusMan_839,Restaurants (Marked thus + are oyster saloons.),Restaurant,"Handwerker Henry J. 214, 7th av",20,,Handwerker Henry J ,214 7th av ,"214, 7th av",German,,,German,Irish,English,undecided,undecided,Northern Europe,m,m,,m,m,m,m,,,N,214,7th av ,7th,av,,,,,Balzarini,Joseph,0.46331238,0.45872026,error,0.546838089,Irish,German,,Italian,FALSE,,,
"Kayser Margaret, 68 W 36th",1898_TrowBusMan,957,1013,1898_TrowBusMan_1013,Restaurants (Marked thus + are oyster saloons.),Restaurant,"Kayser Margaret, 68 W 36th",17,,Kayser Margaret ,68 W 36th ,68 W 36th,German,,,German,Irish,Swiss,undecided,undecided,Northern Europe,f,f,,f,f,f,f,,,N,68,W 36th ,W,36th,,,,,Chotis,John,0.36082279,0.51328989,,0.408172025,Irish,German,,FALSE,FALSE,,,
"Keese Charles, 823, 10th av",1898_TrowBusMan,957,1016,1898_TrowBusMan_1016,Restaurants (Marked thus + are oyster saloons.),Restaurant,"Keese Charles, 823, 10th av",15,,Keese Charles ,823 10th av ,"823, 10th av",German,,,German,Irish,English,undecided,undecided,Northern Europe,m,m,,m,m,m,m,,,N,823,10th av ,10th,av,,,,,Christin,George,0.39811857,0.40507029,,0.630787245,Irish,German,,Greece,FALSE,,,
"+Kettler John, 204 Av B",1898_TrowBusMan,957,1030,1898_TrowBusMan_1030,Restaurants (Marked thus + are oyster saloons.),Oyster Saloon,"+Kettler John, 204 Av B",15,,Kettler John ,204 Av B ,204 Av B,German,,,German,Irish,English,undecided,undecided,Northern Europe,m,m,,m,m,m,m,,,N,204,Av B ,Av,B,,,,,Costink,Brothers,0.50792157,0.63378965,,0.774902912,Irish,German,,FALSE,FALSE,,,
"+Kolter John. 1535, 3d av",1898_TrowBusMan,957,1070,1898_TrowBusMan_1070,Restaurants (Marked thus + are oyster saloons.),Oyster Saloon,"+Kolter John. 1535, 3d av",14,,Kolter John ,1535 3rd av ,"1535, 3d av",German,,,German,Irish,German,German,German,Northern Europe,m,m,,m,m,m,m,,,N,1535,3rd av ,3rd,av,,,,,Dannbacher,Stimis,0.48161508,0.44213386,error,0.568708515,Irish,German,,FALSE,FALSE,,,
Krull John W. 4 Oliver,1898_TrowBusMan,958,1096,1898_TrowBusMan_1096,Restaurants (Marked thus + are oyster saloons.),Restaurant,Krull John W. 4 Oliver,14,,Krull John W ,4 Oliver  ,4 Oliver,German,,,German,Irish,German,German,German,Northern Europe,m,m,,m,m,m,m,,,N,4,Oliver  ,Oliver,,,,,,DENNETT,SURPASSING,0.4767532,0.71610998,,0.461619905,Irish,German,,Russian/Scottland/Hungarian/New York,FALSE,,,
"Labort John, 170 Mulberry",1898_TrowBusMan,958,1108,1898_TrowBusMan_1108,Restaurants (Marked thus + are oyster saloons.),Restaurant,"Labort John, 170 Mulberry",13,,Labort John ,170 Mulberry  ,170 Mulberry,,,German,German,Irish,English,undecided,undecided,Northern Europe,m,m,,m,m,m,m,,,N,170,Mulberry  ,Mulberry,,,,,,DENNETT,SURPASSING,0.4767532,0.71610998,,0.949078831,Irish,German,,Russian/Scottland/Hungarian/New York,FALSE,,,
"Miller Frederick, 620 Grand",1898_TrowBusMan,959,1315,1898_TrowBusMan_1315,Restaurants (Marked thus + are oyster saloons.),Restaurant,"Miller Frederick, 620 Grand",18,,Miller Frederick ,620 Grand st  ,620 Grand,,,German,German,Irish,English,undecided,undecided,Northern Europe,m,,m,m,m,m,m,,,N,620,Grand st  ,Grand,,,,,,Haan,R,0.8880589,0.89456616,,0.645318841,Irish,German,,FALSE,FALSE,,,
"Miller Michael, 194 Av C",1898_TrowBusMan,959,1318,1898_TrowBusMan_1318,Restaurants (Marked thus + are oyster saloons.),Restaurant,"Miller Michael, 194 Av C",16,,Miller Michael ,194 Av C ,194 Av C,,,German,German,Irish,Austrian,undecided,undecided,Northern Europe,m,,m,m,m,m,m,,,N,194,Av C ,Av,C,,,,,Habib,Said,0.4925034,0.46063637,error,0.984566954,Irish,German,,Turkey,FALSE,,,
"+Muller Joseph, 37 Stanton",1898_TrowBusMan,959,1366,1898_TrowBusMan_1366,Restaurants (Marked thus + are oyster saloons.),Oyster Saloon,"+Muller Joseph, 37 Stanton",16,,Muller Joseph ,37 Stanton  ,37 Stanton,,,German,German,Irish,German,German,German,Northern Europe,m,,m,m,m,m,m,,,N,37,Stanton  ,Stanton,,,,,,Hitchcock??Û?s,Oliver,0.77771557,0.83264875,,0.984566954,Irish,German,,American,FALSE,,,
"Oswald John. 1226, 2d av",1898_TrowBusMan,960,1441,1898_TrowBusMan_1441,Restaurants (Marked thus + are oyster saloons.),Restaurant,"Oswald John. 1226, 2d av",13,,Oswald John ,1226 2nd av ,"1226, 2d av",,,German,German,Irish,English,undecided,undecided,Northern Europe,m,,m,m,m,m,m,,,N,1226,2nd av ,2nd,av,,,,,Joy,Hit,0.5053995,0.73064713,,0.984566954,Irish,German,,New York,FALSE,,,
Ott Joseph. 15 Bible h,1898_TrowBusMan,960,1442,1898_TrowBusMan_1442,Restaurants (Marked thus + are oyster saloons.),Restaurant,Ott Joseph. 15 Bible h,12,,Ott Joseph ,15 Bible h ,15 Bible h,,,German,German,Irish,German,German,German,Northern Europe,m,,m,m,m,m,m,,,N,15,Bible h ,Bible,h,,,,,Joseph,F,0.42409583,0.38153275,error,0.716837714,Irish,German,,Russian/Middle Eastern/New York,FALSE,,,
"Pechar John, 466, 6th av",1898_TrowBusMan,960,1463,1898_TrowBusMan_1463,Restaurants (Marked thus + are oyster saloons.),Restaurant,"Pechar John, 466, 6th av",13,,Pechar John ,466 6th av ,"466, 6th av",German,,,German,Irish,English,undecided,undecided,Northern Europe,m,,m,m,m,m,m,,,N,466,6th av ,6th,av,,,,,Kingsland,Anna,0.48000301,0.46513228,error,0.950057948,Irish,German,,New York,FALSE,,,
Pressler Henry. 32 W Houston,1898_TrowBusMan,960,1506,1898_TrowBusMan_1506,Restaurants (Marked thus + are oyster saloons.),Restaurant,Pressler Henry. 32 W Houston,16,,Pressler Henry ,32 W Houston ,32 W Houston,German,,,German,Irish,English,undecided,undecided,Northern Europe,m,,m,m,m,m,m,,,N,32,W Houston ,W,Houston,,,,,Langshore,&,0.29877691,0.36465862,,0.593034793,Irish,German,,FALSE,FALSE,,,
Ramhorst William F. 156 Gwich,1898_TrowBusMan,960,1530,1898_TrowBusMan_1530,Restaurants (Marked thus + are oyster saloons.),Restaurant,Ramhorst William F. 156 Gwich,20,,Ramhorst William F ,156 Greenwich,156 Gwich,German,,,German,Irish,German,German,German,Northern Europe,m,,m,m,m,m,m,,,N,156,Greenwich,Gwich,,,,,,Lettre,Susanna,0.50591933,0.46598497,error,0.874122783,Irish,German,,France,FALSE,,,
"Ranft John, 83 Bleecker & 102 Spring",1898_TrowBusMan,960,1531,1898_TrowBusMan_1531,Restaurants (Marked thus + are oyster saloons.),Restaurant,"Ranft John, 83 Bleecker & 102 Spring",12,,Ranft John ,83 Bleecker  ,83 Bleecker & 102 Spring,German,,,German,Irish,English,undecided,undecided,Northern Europe,m,,m,m,m,m,m,,,N,83,Bleecker  ,Bleecker,,,,,,Levenstein,&,0.5077283,0.50457361,error,0.630603513,Irish,German,,Russian,FALSE,,,
"Ranft John, 83 Bleecker & 102 Spring",1898_TrowBusMan,960,1532,1898_TrowBusMan_1532,Restaurants (Marked thus + are oyster saloons.),Restaurant,"Ranft John, 83 Bleecker & 102 Spring",12,,Ranft John ,102 Spring  ,83 Bleecker & 102 Spring,German,,,German,Irish,English,undecided,undecided,Northern Europe,m,,m,m,m,m,m,,,N,102,Spring  ,Spring,,,,,,Lichtenstadt,Oscar,0.50020966,0.46573546,error,0.984566954,Irish,German,,FALSE,FALSE,,,
Ritter John. 219 W 88th,1898_TrowBusMan,961,1573,1898_TrowBusMan_1573,Restaurants (Marked thus + are oyster saloons.),Restaurant,Ritter John. 219 W 88th,13,,Ritter John ,219 W 88th ,219 W 88th,German,,,German,Irish,English,undecided,undecided,Northern Europe,m,,m,m,m,m,m,,,N,219,W 88th ,W,88th,,,,,Mardegias,John,0.34489969,0.55387848,,0.501326279,Irish,German,,FALSE,FALSE,,,
"Suhre John A. 583, 1st av",1898_TrowBusMan,962,1830,1898_TrowBusMan_1830,Restaurants (Marked thus + are oyster saloons.),Restaurant,"Suhre John A. 583, 1st av",14,,Suhre John A ,583 1st av ,"583, 1st av",,,German,German,Irish,Danish,undecided,undecided,Northern Europe,m,,m,m,m,m,m,https://www.ancestrylibrary.com/interactive/1629/31194_121103-02223?pid=6694421&backurl=https://search.ancestrylibrary.com/cgi-bin/sse.dll?_phsrc%3DyXy45%26_phstart%3DsuccessSource%26usePUBJs%3Dtrue%26qh%3DfT%252BvfGvrFqYKtsllQWPtqA%253D%253D%26gss%3Dangs-c%26new%3D1%26rank%3D1%26gsfn%3DJohn%2520a%26gsfn_x%3D0%26gsln%3Dsuhre%26gsln_x%3D0%26MSAV%3D1%26uidh%3Dqh4%26pcat%3D40%26h%3D6694421%26dbid%3D1629%26indiv%3D1%26ml_rpos%3D1&treeid=&personid=&hintid=&usePUB=true&_phsrc=yXy45&_phstart=successSource&usePUBJs=true,-,N,583,1st av ,1st,av,,,,,Segal,&,0.77215258,0.78619073,,0.508397834,Irish,German,,Russian/Romanian/Austrian,FALSE,,,
"Lefkovits Joseph, 282 E Houston",1898_TrowBusMan,958,1141,1898_TrowBusMan_1141,Restaurants (Marked thus + are oyster saloons.),Restaurant,"Lefkovits Joseph, 282 E Houston",18,,Lefkovits Joseph ,282 E Houston ,282 E Houston,,,"Jewish, Russian","Jewish, Russian",Irish,Belgium,undecided,undecided,Northern Europe,m,m,,m,m,m,m,,,N,282,E Houston ,E,Houston,,,,,Dorlon,A,0.49626695,0.46478661,error,0.576262829,Irish,"Jewish, Russian",,New York,FALSE,,,
"Liebman Joseph, 124 Bleecker",1898_TrowBusMan,958,1163,1898_TrowBusMan_1163,Restaurants (Marked thus + are oyster saloons.),Restaurant,"Liebman Joseph, 124 Bleecker",16,,Liebman Joseph ,124 Bleecker  ,124 Bleecker,,,Romanian,Romanian,Irish,Belgium,undecided,undecided,Northern Europe,m,m,,m,m,m,m,,https://www.ancestrylibrary.com/interactive/1629/31194_120984-01872?pid=6336426&backurl=https://search.ancestrylibrary.com/cgi-bin/sse.dll?_phsrc%3DIQz62%26_phstart%3DsuccessSource%26usePUBJs%3Dtrue%26qh%3DF/gHwA64fPU/EjTZDIBAvA%253D%253D%26gss%3Dangs-c%26new%3D1%26rank%3D1%26gsfn%3Djoseph%26gsfn_x%3D0%26gsln%3Dliebman%26gsln_x%3D0%26MSAV%3D1%26uidh%3Dqh4%26successSource%3DSearch%26_phtarg%3DIQz61%26pcat%3D40%26h%3D6336426%26dbid%3D1629%26indiv%3D1%26ml_rpos%3D6&treeid=&personid=&hintid=&usePUB=true&_phsrc=IQz62&_phstart=successSource&usePUBJs=true,N,124,Bleecker  ,Bleecker,,,,,,Egstein,Charles,0.50539677,0.46528903,error,0.504114887,Irish,Romanian,,FALSE,FALSE,,,
"Racky John, 21 Frankfort",1898_TrowBusMan,960,1525,1898_TrowBusMan_1525,Restaurants (Marked thus + are oyster saloons.),Restaurant,"Racky John, 21 Frankfort",12,,Racky John ,21 Frankfort  ,21 Frankfort,Swiss,,,Swiss,Irish,English,undecided,undecided,Northern Europe,m,,m,m,m,m,m,,,N,21,Frankfort  ,Frankfort,,,,,,Lendsen,Morris,0.36765574,0.46574237,,0.516741988,Irish,"Jewish, Russian",,,FALSE,,,
Barto Christina H. 551 Grand,1898_TrowBusMan,952,174,1898_TrowBusMan_174,Restaurants (Marked thus + are oyster saloons.),Restaurant,Barto Christina H. 551 Grand,19,,Barto Christina H ,551 Grand st  ,551 Grand,Italian,,German,German,Italian,Indonesian,undecided,Italian,Southern Europe,f,f,,f,f,f,f,,,N,551,Grand st  ,Grand,,,,,,Berse,Aaron,0.612866981,0.778694437,,0.682135771,Italian,German,,Russian,FALSE,,,
"Stern Ludmilla, 64 E 10th",1898_TrowBusMan,962,1813,1898_TrowBusMan_1813,Restaurants (Marked thus + are oyster saloons.),Restaurant,"Stern Ludmilla, 64 E 10th",16,,Stern Ludmilla ,64 E 10th ,64 E 10th,,,,Austrian,Jewish,German,undecided,undecided,Western Asia,f,,f,f,f,f,f,,,N,64,E 10th ,E,,,,,,Nuis,Henry,0.701983604,0.820531461,,0.572287232,Jewish,Austrian,,FALSE,FALSE,,,
"Dibs & Tahhan, 81 Washn",1898_TrowBusMan,954,505,1898_TrowBusMan_505,Restaurants (Marked thus + are oyster saloons.),Restaurant,"Dibs & Tahhan, 81 Washn",15,,Dibs & Tahhan ,81 Washington,81 Washn,English,,,English,JO,SY,cannot use api,cannot use api,,,,,,m,cannot use api,cannot use api,,,N,81,Washington,Washn,,,,,,Franchini,John,0.471191444,0.602556424,,0.496067476,JO,English,,Italian,FALSE,,,
"Fopiano Stephen, 148 & 156 Church",1898_TrowBusMan,955,664,1898_TrowBusMan_664,Restaurants (Marked thus + are oyster saloons.),Restaurant,"Fopiano Stephen, 148 & 156 Church",17,,Fopiano Stephen ,148 Church  ,148 & 156 Church,Italian,,,Italian,Kenya,English,undecided,undecided,Eastern Africa,m,m,,m,m,m,m,,,N,148,Church  ,Church,,,,,,Bonwoll,Abraham,0.652180473,0.698939552,,0.507254714,Kenya,Italian,,FALSE,FALSE,,,
"Natoli Joseph, 154 W Bway",1898_TrowBusMan,960,1387,1898_TrowBusMan_1387,Restaurants (Marked thus + are oyster saloons.),Restaurant,"Natoli Joseph, 154 W Bway",15,,Natoli Joseph ,154 W Broadway,154 W Bway,,,Italian,Italian,Kenya,Congo,undecided,undecided,Eastern Africa,m,,m,m,m,m,m,,,N,154,W Broadway,W,Bway,,,,,Hugo,Joseph,0.35734656,0.42044238,,0.71408597,Kenya,Italian,,Ireland/Poland,FALSE,,,
"Solari Joseph F, 80 University pl",1898_TrowBusMan,962,1771,1898_TrowBusMan_1771,Restaurants (Marked thus + are oyster saloons.),Restaurant,"Solari Joseph F, 80 University pl",17,,Solari Joseph F ,80 University pl ,80 University pl,,,Italian,Italian,Kenya,French,undecided,undecided,Eastern Africa,m,,m,m,m,m,m,,,N,80,University pl ,University,pl,,,,,Rosedale,&,0.50287976,0.62345202,,0.61736246,Kenya,Italian,,FALSE,FALSE,,,
